HJZ-911|198217106|1956
TDX-746|477649636|1948
QCG-672|277578088|1935
RQN-607|8833364|1956
GBP-128|193296584|1990
JIN-844|163131070|1947
TUO-632|134386094|1955
QIW-378|201109074|2004
RZY-613|399853082|1999
ZMA-835|131216114|1951
HLO-481|339799140|1912
QHI-494|2719452|2009
RSN-664|58566081|1904
KNG-185|89434031|1915
TMH-361|139424035|1990
IEQ-357|217744484|1964
SLK-715|139302446|1973
MDO-919|484420182|1945
ZNS-429|95064176|1961
EEN-634|120723237|1999
DFK-921|300822424|1994
KOF-109|241309488|1937
WFT-728|104800693|1972
XAL-962|248422433|1919
DEH-020|466235733|1960
CKR-108|116880096|1925
JBA-673|42823434|1986
ATT-983|326354975|1911
UHS-819|28207654|1987
XWL-218|189446833|2006
TQN-975|25012065|1942
RGX-273|314048533|1913
KXS-374|172914988|1914
MZV-190|467504828|1948
CFO-218|300267094|1943
POB-469|78064081|1917
FIE-009|340752207|1960
YNJ-926|126123028|1968
YHA-440|268590949|2010
MSX-530|187764437|1966
DMZ-083|300787462|1926
KQX-770|361087793|1940
JQA-204|118919013|1989
LUT-832|340832869|1949
ZGT-372|353968645|1910
NDS-388|381796393|2006
FLJ-606|96700693|1932
XGT-656|408541568|1990
RPR-222|164079430|1909
MXB-708|15900625|1953
MWY-974|395230468|1944
QHP-410|108770293|1963
AGP-897|208445352|1905
FMR-628|442700319|1994
FSN-195|173728951|1940
AUF-130|300774857|1935
MPP-753|359389882|1978
QBY-855|61286926|1975
JJQ-651|193173928|2004
OEV-348|412705722|1967
IPH-357|87440396|1998
PLW-015|463437035|1982
ABD-010|87881430|1975
VWJ-557|484876518|1934
YIZ-111|286284320|1907
PRQ-273|56255977|1953
ZHF-479|252836774|1977
HRZ-695|343782649|1944
LJP-608|232475142|1921
ZPI-353|284571354|1998
MMU-122|362775633|1948
UPW-584|397869789|1995
PUH-202|158888484|1961
LRS-330|2076581|1949
DDS-204|12015082|2000
BYG-323|63052482|1993
XFV-557|459928124|1911
QGP-945|446224439|1970
CTX-587|477034641|2003
LKV-573|304982671|1919
XCN-813|23482095|1903
CVF-283|357870680|1936
SQA-280|116807355|2000
ZUG-403|318068268|1908
XHM-579|176628706|1947
OXU-437|207667515|1984
DGV-073|376880817|1971
TRY-860|317241700|1901
QAX-738|273092632|1935
BTS-198|60207225|1950
KNW-990|441208263|1954
JMD-645|462478471|2007
RUR-898|391450907|2009
YLO-500|57915670|1975
NTW-709|491729590|1981
VSJ-790|407065693|1990
MYH-326|166089045|1937
PNM-728|31695857|2003
DGB-659|102702422|1920
MNS-253|467620673|1911
