QIF-837|481270070|1947
DYT-562|341931089|1927
KDQ-369|296711685|1987
VWJ-149|309396071|1917
THP-345|466469753|2008
ULL-209|227862466|1964
FRZ-097|360333754|1998
CXK-852|366731872|1975
SWO-207|317106303|1912
VVV-673|144404493|1927
EDL-226|71233284|1915
HUY-069|469915261|1965
VHN-686|81820887|1903
JPT-722|129706563|1940
KIR-212|25539199|1975
YKY-725|441037838|1908
HXI-960|191912620|1953
KRL-490|457531771|1939
JHK-248|42496900|1950
QMU-686|441357215|1984
YRT-595|171443003|2006
MQZ-532|378548929|1968
NRA-172|431947628|1966
DVD-718|273963931|1932
IAY-919|466090431|1901
WBY-977|479374585|1947
TWF-700|392558028|1986
OSP-797|308198474|1966
UWM-755|404754669|2002
UCN-082|176364927|1906
ICD-259|27799643|2004
PPV-522|33818278|2005
CVJ-908|277911389|1931
ZIL-097|324157881|1926
WVO-807|490678365|1927
OGW-924|232914740|1964
CWM-706|47716607|1943
PXR-255|459965026|1976
ALL-606|261213988|1940
YSS-770|286580141|1952
WZH-311|178861225|1937
DSZ-643|164613619|1906
SCP-954|31669622|1984
UZC-624|97324701|1932
RGN-975|99175483|1977
VGV-885|49338602|1915
IVU-308|231531260|1958
DQQ-234|140243562|1981
SEN-447|277983468|1932
DGS-369|372324544|1916
NFA-030|174237220|1932
QWB-239|141933745|2007
VEM-752|437207607|1941
QUP-436|278997693|1946
ASW-040|322657674|1952
NNW-987|379161185|1948
JHF-763|382223174|1995
ATM-299|161067908|1931
QUL-875|188324094|1969
SXC-899|108277708|2004
NKV-521|458462759|2002
JJK-362|148320701|1926
VYI-523|347408799|1928
KDK-964|111388003|1984
VHC-912|136770750|1994
TAT-080|222159213|1934
EFU-751|90454403|1983
NJL-787|377266645|1931
WJS-507|216507860|1912
BJN-681|453896199|1977
FTH-217|186853332|1953
XXH-699|402025058|1988
IHX-388|163405597|1982
BSE-008|369796012|1974
UVH-545|285077296|1947
HQK-936|113528548|1936
DEJ-477|63170778|1985
OPL-491|436866643|1979
DWI-727|429656810|1984
TXT-751|421563254|1916
ARL-177|204839955|1920
FOR-023|180401614|2002
RYC-924|207910658|1988
QIV-854|399753150|1910
IRJ-363|289884027|1902
BIE-501|418272114|1968
ULB-211|17425404|1930
BBQ-788|81227050|1952
VAC-180|263062603|1965
VDW-476|130968843|1929
AXH-131|462284867|1986
NID-276|385035601|2007
CMX-179|270028578|1910
ZHK-745|442394121|1971
LFG-410|377049629|1940
BZQ-163|173318250|2005
BEX-302|240682601|1959
OCF-730|242403809|1914
CZH-451|464486535|1976
ASV-786|419220283|1901
