TXC-124|39839554|1954
FXK-912|158280392|1934
SMU-719|489562884|2010
FER-362|401085947|1931
ONE-760|402246759|1900
PPI-083|321736958|1956
RFJ-156|123258918|1911
GWW-006|141501518|1952
OFC-552|139965630|1974
ZCM-613|209978881|1961
EYW-230|167989719|2005
XBH-779|220980513|1930
BSO-174|305589637|1923
IQZ-694|122282259|2013
LAD-747|14659751|1976
LPI-863|473747594|1964
MOZ-715|167851562|1946
VRP-782|8322012|1935
DMW-315|427316209|1911
LJI-831|126398441|1907
HMX-669|188567868|2003
JBO-323|106053795|1962
SZI-306|344968404|1902
NZT-174|244656605|1977
ZDO-985|134333029|1943
RSE-222|207345773|1940
JDT-126|295157071|1908
MYR-381|316880352|1911
PAN-560|306963873|2006
DEE-493|46360496|1922
VBS-261|443273711|1988
OCO-542|451319462|1978
FOX-524|403693891|1994
QRA-426|311686700|1995
RES-584|263629910|1993
XBF-372|205122087|1959
TSR-580|498117636|1935
WHN-032|290221170|1903
WHF-925|331276721|1966
LJC-431|33091608|1990
HKD-706|149884971|1995
OQO-620|126800584|1959
JVX-570|246573936|2007
YIU-033|366193432|1939
GSU-455|134145471|1951
GIO-241|214583298|1930
DMV-289|177509486|1931
FKR-167|315811865|1969
ZVJ-671|303742732|1952
EGM-132|211181249|2002
MVM-604|31768726|1988
SDA-436|494756908|1969
TRE-431|71158723|1938
NOS-911|175541728|1950
JSK-263|250553806|2013
LMH-969|474021125|1944
UKQ-953|13208094|2000
TIT-287|332579282|1937
IEO-849|232152992|1968
SNJ-700|356286476|1961
OKB-069|107482551|1972
GEN-460|463557483|1965
GGQ-788|373259989|1946
TGR-501|478181123|1912
OOU-933|89545154|1961
JKN-557|419220823|1929
VRX-653|243043290|1982
BRW-335|239286321|1978
YMK-067|433874675|1998
KBR-017|258676489|1932
WZZ-385|374965535|1992
EKF-646|49893189|1980
VJJ-773|465559935|1937
HNA-031|14026258|1935
BTC-467|191352816|1981
XTC-228|409509597|1911
OXU-336|89744116|1964
ZGY-071|78748301|1900
ZEN-153|44714006|1933
MGS-981|112116976|1915
GGN-252|148819142|1983
NUL-368|223829025|1955
JXF-741|389810119|1956
BGD-019|65177154|1956
VUK-541|409369955|1951
GWY-935|235644890|1910
NCW-891|82473650|2004
RPM-586|247389221|1972
ZMY-603|168868909|2011
CCY-628|179594299|1934
BPX-923|292177888|1962
CZL-041|284196316|1942
MAZ-621|484120073|1964
INF-286|289479373|2013
ZSC-839|56356250|1997
JDA-422|148042515|1988
AWV-083|37453561|1921
MSI-166|482637822|2005
USF-771|442471648|1902
AOR-391|484379616|1924
